house_size_m2,rooms,floor,open_kitchen,parking_spaces,house_age,garden,bathrooms,toilets,distance_to_city_center_km,municipality,property_type,sauna,balcony_terrace,heating_system,condition,plot_size_m2,energy_rating,price_thousand_eur
53,2,2,0,1,53,0,1,1,1.6,Tampere,Apartment,0,0,District heating,Fair,0,F,115
38,2,1,0,1,17,0,1,1,2.6,Kuopio,Apartment,0,1,District heating,Excellent,0,B,76
102,4,0,1,2,19,1,2,2,10.6,Vantaa,Detached house,1,1,Electric heating,Good,885,C,247
61,3,2,0,1,18,0,1,1,1.6,Oulu,Apartment,0,1,District heating,Good,0,D,149
122,5,0,1,2,70,1,2,3,6.1,Espoo,Detached house,0,1,Oil heating,Good,1425,G,388
97,4,0,1,1,21,1,1,1,18.6,Espoo,Semi-detached house,0,0,Wood heating,Good,760,B,324
127,5,1,0,1,4,0,1,2,1.5,Jyväskylä,Apartment,0,1,Air-source heat pump,New,0,A,320
57,3,0,1,1,10,0,1,2,2.9,Helsinki,Apartment,0,1,District heating,Fair,0,C,219
103,4,0,1,2,44,1,2,2,5.9,Helsinki,Detached house,0,1,District heating,Fair,645,D,479
64,3,0,0,0,41,0,1,1,3.3,Helsinki,Apartment,0,1,District heating,Fair,0,D,192
88,3,2,0,1,54,0,1,1,0.6,Jyväskylä,Apartment,0,1,District heating,Fair,0,C,163
87,4,0,1,2,40,0,2,2,12.1,Espoo,Terraced house,1,1,Air-source heat pump,Good,210,C,305
70,3,2,0,0,28,0,1,1,1.2,Turku,Apartment,0,1,District heating,Good,0,C,156
95,4,0,1,1,23,1,2,2,2.1,Kuopio,Terraced house,1,1,District heating,Needs renovation,405,E,157
83,3,0,1,1,66,1,1,2,7.1,Jyväskylä,Semi-detached house,0,1,Electric heating,Needs renovation,455,G,88
123,4,0,1,2,0,1,2,2,15.3,Turku,Detached house,1,1,Electric heating,New,1485,B,252
67,2,6,0,1,4,0,1,1,5.9,Turku,Apartment,0,1,District heating,New,0,A,196
79,3,4,1,1,10,0,1,1,3.2,Helsinki,Apartment,0,1,District heating,Fair,0,B,324
39,2,4,1,0,1,0,1,1,2.0,Tampere,Apartment,0,1,District heating,New,0,A,149
63,3,3,1,0,10,0,1,1,6.7,Tampere,Apartment,0,1,Geothermal,Excellent,0,B,189
43,1,1,0,1,49,0,1,1,1.6,Oulu,Apartment,0,1,Geothermal,Fair,0,D,83
137,5,0,1,2,0,1,2,2,2.9,Oulu,Detached house,1,1,Electric heating,Good,1940,A,328
45,2,3,0,1,47,0,1,1,1.4,Turku,Apartment,0,1,District heating,Needs renovation,0,E,86
103,4,0,0,2,68,1,1,1,15.8,Vantaa,Detached house,0,0,Electric heating,Fair,355,F,167
80,2,1,1,1,29,0,1,1,3.5,Lahti,Apartment,0,1,District heating,Good,0,C,130
69,4,2,1,0,1,0,1,1,14.2,Helsinki,Apartment,0,1,Air-source heat pump,Excellent,0,A,272
88,4,1,0,1,37,0,1,1,1.7,Oulu,Apartment,0,1,District heating,Needs renovation,0,D,139
85,4,0,1,1,10,1,1,2,11.0,Oulu,Semi-detached house,1,1,District heating,Good,730,C,177
62,2,0,0,1,28,0,1,1,5.2,Espoo,Apartment,0,0,District heating,Good,0,D,192
72,3,0,1,1,0,0,1,1,2.1,Turku,Apartment,0,1,District heating,Excellent,0,A,200
69,3,2,1,1,3,0,1,1,8.2,Espoo,Apartment,0,1,District heating,Excellent,0,B,264
42,1,2,0,1,45,0,1,1,2.1,Oulu,Apartment,0,1,District heating,Fair,0,D,74
69,3,2,1,0,87,0,1,1,9.4,Helsinki,Apartment,0,1,Electric heating,Needs renovation,0,F,139
74,3,0,0,2,94,1,2,2,9.9,Helsinki,Semi-detached house,0,0,Oil heating,Fair,455,G,213
93,4,0,1,1,12,1,1,1,29.2,Kuopio,Detached house,0,1,Geothermal,Needs renovation,2120,D,76
35,1,1,0,0,27,0,1,1,2.6,Turku,Apartment,0,1,District heating,Good,0,C,79
70,3,0,1,1,17,1,1,1,5.9,Oulu,Apartment,0,1,Air-source heat pump,Fair,0,D,115
62,3,5,0,1,24,0,1,1,3.5,Helsinki,Apartment,0,0,District heating,Good,0,C,267
54,2,3,0,0,46,0,1,1,5.9,Espoo,Apartment,0,1,District heating,Good,0,D,141
63,3,0,0,1,39,0,1,1,5.6,Espoo,Apartment,0,1,District heating,Good,0,D,195
80,3,0,0,1,72,1,1,1,3.7,Turku,Detached house,1,0,Air-source heat pump,Good,790,E,189
64,3,0,0,0,36,1,1,1,3.2,Tampere,Apartment,0,0,Air-source heat pump,Good,0,C,145
97,4,0,0,3,4,1,2,2,4.8,Lahti,Detached house,0,0,Geothermal,Needs renovation,2780,C,183
98,4,0,1,2,24,1,1,1,2.5,Tampere,Semi-detached house,0,0,Air-source heat pump,Good,505,B,276
99,3,1,0,1,63,0,2,3,5.3,Jyväskylä,Apartment,0,1,District heating,Good,0,E,152
62,3,1,0,1,30,0,2,2,6.8,Oulu,Apartment,0,1,Geothermal,Needs renovation,0,D,101
73,3,0,1,2,26,1,2,2,21.0,Tampere,Detached house,0,0,Air-source heat pump,Fair,665,C,138
73,3,0,1,1,23,0,1,1,4.0,Helsinki,Apartment,0,1,District heating,Fair,0,D,289
129,5,2,1,1,12,0,1,1,2.2,Pori,Apartment,1,1,District heating,Fair,0,C,158
84,4,0,0,2,45,1,2,2,1.2,Kuopio,Terraced house,0,1,Electric heating,Fair,565,F,135
78,5,0,1,1,9,0,1,1,8.5,Oulu,Terraced house,0,1,District heating,Good,460,D,156
39,2,0,0,1,24,0,1,1,4.2,Oulu,Apartment,0,0,District heating,Good,0,C,80
100,4,0,0,2,1,1,2,2,13.0,Espoo,Detached house,1,1,Air-source heat pump,Excellent,875,B,410
50,2,5,0,1,53,0,1,1,3.9,Oulu,Apartment,0,0,Electric heating,Good,0,D,100
70,3,5,0,1,39,0,1,1,2.3,Oulu,Apartment,0,1,District heating,Good,0,D,129
107,4,0,0,1,24,1,2,3,6.7,Jyväskylä,Terraced house,1,1,District heating,Good,475,B,205
68,2,5,0,0,37,0,1,1,5.1,Helsinki,Apartment,0,1,Oil heating,Good,0,E,247
63,3,2,1,1,13,0,1,1,10.2,Jyväskylä,Apartment,1,1,District heating,Good,0,C,108
142,6,0,1,2,54,1,2,2,4.1,Espoo,Detached house,1,1,Air-source heat pump,Good,1875,E,715
74,4,0,0,2,39,1,1,1,11.0,Vantaa,Terraced house,0,1,District heating,Fair,195,D,149
65,3,3,0,1,17,0,1,1,1.7,Turku,Apartment,0,0,District heating,Good,0,C,171
55,2,2,1,0,1,0,1,1,4.5,Tampere,Apartment,0,0,District heating,Excellent,0,B,164
86,4,1,0,1,54,0,1,1,15.8,Espoo,Apartment,0,0,District heating,Fair,0,E,189
38,2,5,1,1,1,0,1,1,1.0,Jyväskylä,Apartment,0,1,District heating,New,0,A,118
112,5,0,0,2,55,1,2,2,4.7,Helsinki,Detached house,1,0,Electric heating,Needs renovation,780,G,420
124,5,10,0,2,41,0,2,2,3.1,Helsinki,Apartment,0,1,District heating,Excellent,0,D,537
133,6,0,0,1,18,0,2,3,3.0,Kuopio,Detached house,0,0,Geothermal,Excellent,1545,C,254
44,1,0,0,1,15,0,1,1,14.2,Vantaa,Apartment,0,1,District heating,Good,0,D,103
69,3,2,0,0,95,0,1,1,2.7,Helsinki,Apartment,0,1,District heating,Excellent,0,F,245
51,2,0,0,1,37,0,1,1,1.9,Kuopio,Apartment,0,0,District heating,Good,0,E,81
158,4,0,1,1,31,1,2,3,14.1,Espoo,Detached house,0,1,Electric heating,Good,1045,E,523
70,3,5,1,1,2,0,1,1,5.0,Espoo,Apartment,0,1,Air-source heat pump,Excellent,0,A,303
200,6,0,1,1,21,1,3,5,3.4,Tampere,Detached house,1,1,Wood heating,Good,1510,E,527
62,2,6,0,1,21,0,1,1,7.0,Espoo,Apartment,0,1,District heating,Good,0,C,236
44,2,0,1,0,28,1,1,1,1.0,Helsinki,Apartment,0,1,District heating,Needs renovation,0,E,139
73,2,0,0,1,13,0,1,1,1.1,Oulu,Apartment,0,1,District heating,Needs renovation,0,D,121
158,6,0,1,1,30,0,2,2,8.5,Pori,Detached house,1,1,Electric heating,Good,795,D,165
85,3,0,0,1,44,1,2,3,6.5,Oulu,Terraced house,0,1,Geothermal,Fair,485,C,162
77,3,0,1,0,33,1,1,1,8.5,Pori,Terraced house,1,1,District heating,Fair,395,E,82
101,4,0,0,0,23,1,1,1,3.0,Helsinki,Terraced house,1,1,District heating,Good,535,D,535
78,4,0,1,1,14,1,1,1,1.8,Jyväskylä,Apartment,1,1,Oil heating,Good,0,C,158
57,2,2,0,1,95,0,1,1,1.4,Pori,Apartment,0,1,District heating,Good,0,F,56
120,4,2,1,1,17,0,2,3,4.0,Kuopio,Apartment,0,1,District heating,Fair,0,C,222
59,2,4,1,0,28,0,1,1,10.9,Tampere,Apartment,0,0,District heating,Excellent,0,D,132
163,6,0,1,2,12,1,2,2,6.5,Oulu,Detached house,1,1,Wood heating,Fair,1530,D,327
58,2,4,0,0,23,0,1,1,2.3,Tampere,Apartment,0,1,District heating,Fair,0,E,140
110,5,0,0,2,51,1,2,2,9.6,Lahti,Detached house,0,1,Wood heating,Fair,2265,G,134
100,4,0,1,1,15,0,2,2,5.9,Helsinki,Semi-detached house,0,1,Electric heating,Fair,600,D,496
87,4,4,0,1,3,0,1,1,4.4,Oulu,Apartment,0,1,District heating,New,0,A,217
54,2,6,1,1,27,0,1,1,2.6,Helsinki,Apartment,0,1,Air-source heat pump,Excellent,0,B,292
53,2,1,0,1,19,0,1,1,4.8,Espoo,Apartment,0,1,District heating,Good,0,D,192
82,3,0,1,2,2,0,1,1,2.9,Tampere,Apartment,0,1,District heating,New,0,A,258
97,4,1,0,0,20,0,1,1,7.6,Tampere,Apartment,0,1,District heating,Excellent,0,B,229
31,2,1,0,0,15,0,1,1,6.0,Helsinki,Apartment,0,1,District heating,Good,0,C,138
70,3,0,0,1,74,0,1,2,1.4,Tampere,Apartment,0,0,District heating,Needs renovation,0,G,117
28,1,2,0,1,3,0,1,1,9.8,Oulu,Apartment,0,1,Air-source heat pump,Good,0,B,60
107,3,0,0,0,12,0,1,2,2.6,Helsinki,Apartment,1,1,District heating,Good,0,B,432
24,1,0,0,0,29,0,1,1,8.2,Turku,Apartment,0,1,District heating,Good,0,D,45
61,2,2,0,0,21,0,1,2,1.8,Helsinki,Apartment,0,1,District heating,Fair,0,C,249
98,4,0,1,1,14,0,2,2,4.6,Pori,Semi-detached house,1,0,Air-source heat pump,Fair,620,B,128
65,3,0,0,0,67,0,1,1,3.7,Turku,Apartment,0,1,District heating,Good,0,F,113
59,3,1,0,1,49,0,1,1,4.4,Helsinki,Apartment,0,1,District heating,Fair,0,E,206
66,3,4,0,0,43,0,1,1,2.5,Tampere,Apartment,0,1,District heating,Fair,0,E,171
61,2,0,0,1,16,1,1,1,1.4,Turku,Apartment,0,1,District heating,Good,0,B,144
45,1,1,1,1,4,0,1,1,4.7,Helsinki,Apartment,0,1,District heating,Excellent,0,C,221
46,2,0,0,1,59,0,1,1,4.7,Oulu,Apartment,0,1,District heating,Needs renovation,0,F,60
82,4,0,0,1,24,0,1,2,13.0,Espoo,Terraced house,0,1,Electric heating,Needs renovation,215,D,229
94,3,0,0,1,17,1,1,1,4.3,Vantaa,Semi-detached house,1,1,Geothermal,Good,375,C,265
121,6,0,0,1,37,1,2,2,17.5,Espoo,Detached house,0,0,Electric heating,Good,1260,D,393
85,2,2,0,0,0,0,1,1,11.3,Helsinki,Apartment,1,1,District heating,Excellent,0,B,351
71,4,0,0,1,18,1,1,1,6.0,Helsinki,Terraced house,1,1,Air-source heat pump,Good,365,C,357
59,3,4,1,1,31,0,2,2,3.0,Helsinki,Apartment,0,1,District heating,Good,0,D,291
95,4,0,0,1,37,1,1,2,7.3,Vantaa,Detached house,1,1,District heating,Fair,1480,E,294
98,4,0,1,1,5,1,2,3,12.5,Vantaa,Semi-detached house,0,1,Electric heating,Excellent,785,B,308
58,2,4,0,0,43,0,1,1,2.8,Turku,Apartment,0,0,District heating,Good,0,D,118
68,2,2,1,1,1,0,1,1,6.1,Helsinki,Apartment,0,1,District heating,New,0,A,341
81,3,0,0,2,54,1,2,2,18.1,Tampere,Detached house,0,1,Electric heating,Good,1310,E,180
187,7,0,0,2,9,1,3,3,10.5,Vantaa,Detached house,1,1,Air-source heat pump,Excellent,1935,A,542
47,2,4,0,1,22,0,1,1,5.4,Tampere,Apartment,0,0,Electric heating,Fair,0,D,126
114,4,0,0,2,34,1,2,2,6.3,Oulu,Detached house,1,1,District heating,Fair,2065,D,235
129,5,0,0,1,24,0,2,3,11.9,Vantaa,Apartment,0,0,District heating,Fair,0,E,252
30,2,0,1,1,54,0,1,1,2.0,Lahti,Apartment,0,1,District heating,Good,0,E,43
143,5,0,0,1,23,1,2,2,8.9,Helsinki,Detached house,1,1,District heating,Good,1025,D,664
62,3,0,1,2,10,1,1,1,3.4,Oulu,Terraced house,1,1,District heating,Excellent,655,C,175
37,1,3,1,0,0,0,1,1,1.4,Turku,Apartment,0,1,Electric heating,New,0,A,127
64,3,0,1,2,18,1,1,1,3.5,Jyväskylä,Terraced house,1,0,Geothermal,Good,235,B,118
60,2,1,1,1,9,0,1,1,6.2,Helsinki,Apartment,0,1,District heating,Good,0,A,280
152,5,0,1,3,15,0,2,2,9.9,Espoo,Detached house,1,1,Electric heating,Good,1875,B,622
133,4,0,0,2,40,1,2,3,3.4,Kuopio,Detached house,0,1,District heating,Fair,2225,E,191
78,3,0,0,1,20,0,1,1,17.6,Vantaa,Apartment,0,0,District heating,Good,0,C,163
73,3,0,0,1,24,1,2,2,1.9,Turku,Terraced house,1,0,District heating,Fair,400,E,144
86,4,0,0,1,21,1,1,1,6.5,Helsinki,Terraced house,0,1,Air-source heat pump,Fair,520,B,446
98,3,2,1,1,0,0,2,2,5.5,Jyväskylä,Apartment,0,1,Electric heating,Excellent,0,A,210
200,8,0,0,2,95,1,3,4,5.3,Jyväskylä,Detached house,1,1,District heating,Fair,1240,F,289
94,3,3,1,2,3,0,1,1,24.9,Vantaa,Apartment,1,1,Air-source heat pump,Good,0,B,225
91,3,6,0,1,12,0,1,1,7.0,Helsinki,Apartment,1,1,District heating,Fair,0,D,347
66,2,5,0,1,42,0,1,1,0.4,Lahti,Apartment,1,0,Geothermal,Fair,0,E,106
98,4,1,1,1,58,0,1,2,11.5,Espoo,Apartment,1,0,District heating,Fair,0,E,229
71,3,6,0,1,10,0,1,1,1.8,Tampere,Apartment,0,1,District heating,Good,0,C,243
238,9,0,0,2,0,1,3,4,7.5,Turku,Detached house,1,1,Electric heating,New,840,B,563
67,3,5,1,1,4,0,1,1,3.5,Kuopio,Apartment,0,1,Electric heating,Excellent,0,B,136
71,3,0,1,2,13,1,1,1,8.0,Helsinki,Terraced house,0,0,Electric heating,Good,310,D,327
41,2,0,0,1,50,0,1,1,25.7,Vantaa,Apartment,0,0,District heating,Fair,0,D,68
106,4,0,1,2,46,1,1,1,4.2,Helsinki,Detached house,0,1,Electric heating,Needs renovation,640,F,328
94,4,4,1,2,43,0,1,1,1.5,Tampere,Apartment,0,1,District heating,Good,0,D,232
49,3,4,1,1,4,0,1,1,1.6,Pori,Apartment,0,0,District heating,Excellent,0,C,70
99,4,0,0,0,44,1,1,2,3.1,Kuopio,Terraced house,0,1,District heating,Needs renovation,545,D,152
74,3,0,0,2,46,1,1,1,3.5,Turku,Terraced house,0,0,Electric heating,Good,380,E,154
103,4,0,0,1,56,1,2,2,5.1,Kuopio,Terraced house,1,1,District heating,Fair,670,F,152
85,2,3,0,1,18,0,1,1,12.2,Vantaa,Apartment,0,1,Electric heating,Fair,0,C,184
107,4,0,1,2,3,1,1,1,3.0,Jyväskylä,Detached house,0,1,Electric heating,New,660,B,253
44,2,7,1,2,2,0,1,1,22.6,Espoo,Apartment,0,1,District heating,New,0,A,162
90,3,2,0,0,27,0,1,1,3.4,Helsinki,Apartment,1,0,District heating,Needs renovation,0,C,305
67,3,0,0,2,15,1,1,1,8.5,Tampere,Terraced house,0,1,Electric heating,Fair,350,E,198
74,3,0,0,1,5,0,1,1,4.1,Kuopio,Semi-detached house,0,1,Electric heating,Good,360,C,148
103,3,0,0,0,60,1,2,3,5.9,Kuopio,Detached house,0,1,Electric heating,Good,2060,F,171
68,3,0,1,1,15,0,1,1,3.2,Jyväskylä,Apartment,0,1,District heating,Excellent,0,C,145
72,3,1,1,1,36,0,1,1,9.4,Helsinki,Apartment,0,1,District heating,Good,0,D,248
136,6,0,1,1,20,1,2,2,13.5,Vantaa,Detached house,0,1,Electric heating,Good,1350,E,384
55,2,4,0,1,95,0,1,1,3.8,Helsinki,Apartment,0,0,District heating,Fair,0,F,168
62,2,2,0,1,72,0,1,1,6.3,Vantaa,Apartment,0,0,District heating,Good,0,G,136
30,2,4,0,1,20,0,1,1,3.8,Oulu,Apartment,0,0,District heating,Good,0,C,67
55,2,5,0,1,22,0,1,1,5.7,Helsinki,Apartment,0,1,District heating,Good,0,C,256
56,2,1,1,1,49,0,1,1,2.0,Lahti,Apartment,0,1,Electric heating,Needs renovation,0,E,76
62,3,0,0,1,25,0,1,1,5.0,Kuopio,Apartment,0,1,District heating,Excellent,0,C,102
72,3,0,0,0,17,0,1,1,1.8,Pori,Apartment,0,1,District heating,Good,0,D,88
83,3,0,0,1,27,0,1,1,6.1,Kuopio,Apartment,0,1,District heating,Needs renovation,0,E,88
85,3,2,0,1,34,0,1,1,5.3,Tampere,Apartment,0,1,District heating,Fair,0,D,187
28,1,2,1,1,19,0,1,1,12.5,Espoo,Apartment,0,1,District heating,Good,0,B,99
139,5,0,1,1,33,1,2,2,14.4,Espoo,Detached house,1,1,District heating,Fair,1175,E,383
43,1,0,0,0,21,0,1,1,3.6,Tampere,Apartment,0,1,Electric heating,Good,0,C,109
56,2,5,0,0,22,0,1,1,5.2,Tampere,Apartment,0,1,District heating,Fair,0,D,123
53,2,0,1,0,95,0,1,1,10.1,Vantaa,Apartment,0,0,District heating,Fair,0,F,90
71,2,0,1,1,25,0,1,1,4.1,Jyväskylä,Apartment,0,1,District heating,Good,0,C,127
70,4,0,1,1,18,0,1,1,1.9,Kuopio,Apartment,0,1,Air-source heat pump,Fair,0,C,119
72,3,0,0,2,58,1,1,1,4.3,Helsinki,Detached house,0,1,Wood heating,Good,740,F,366
103,4,1,0,2,17,0,1,1,6.3,Espoo,Apartment,0,1,District heating,Good,0,C,333
122,5,0,0,2,51,1,2,2,2.4,Oulu,Detached house,0,1,Wood heating,Fair,925,E,198
110,4,0,0,1,69,0,1,1,12.6,Tampere,Apartment,0,0,District heating,Good,0,E,170
81,4,0,0,1,17,1,1,1,6.5,Kuopio,Terraced house,1,1,Air-source heat pump,Excellent,250,C,153
40,1,3,0,1,64,0,1,1,2.4,Jyväskylä,Apartment,0,0,District heating,Needs renovation,0,G,64
52,3,0,1,0,4,0,1,1,5.1,Turku,Apartment,0,0,District heating,New,0,A,125
28,1,0,0,1,19,1,1,1,9.1,Vantaa,Apartment,0,0,District heating,Good,0,D,82
94,4,0,0,2,32,1,1,1,12.2,Helsinki,Terraced house,0,1,Electric heating,Good,230,E,339
113,5,0,1,3,3,0,2,2,10.1,Vantaa,Terraced house,1,1,District heating,Excellent,240,B,320
64,3,1,0,1,25,0,1,2,1.6,Pori,Apartment,0,1,Air-source heat pump,Good,0,C,86
80,3,0,1,2,29,1,2,2,4.3,Helsinki,Terraced house,0,1,District heating,Excellent,480,C,484
50,2,2,0,1,15,0,1,1,6.1,Turku,Apartment,0,1,Electric heating,Needs renovation,0,D,105
93,4,0,1,2,10,1,2,2,3.6,Kuopio,Terraced house,1,1,Air-source heat pump,Needs renovation,795,B,133
39,1,0,1,1,40,0,1,1,6.1,Vantaa,Apartment,0,0,District heating,Good,0,D,96
85,3,1,0,0,1,0,1,1,2.2,Tampere,Apartment,0,1,District heating,New,0,B,280
134,4,0,1,1,79,1,2,3,6.9,Helsinki,Detached house,0,1,Electric heating,Good,755,F,572
196,8,0,1,1,33,1,3,3,3.8,Oulu,Detached house,1,1,District heating,Fair,1620,D,297
80,2,1,0,1,25,0,1,1,4.6,Jyväskylä,Apartment,0,1,District heating,Good,0,D,153
121,4,0,0,2,15,1,1,1,4.7,Vantaa,Semi-detached house,1,1,District heating,Good,700,D,307
102,4,0,0,1,45,0,1,1,2.5,Jyväskylä,Apartment,0,1,Geothermal,Good,0,C,170
35,1,11,0,1,10,0,1,1,9.3,Espoo,Apartment,0,1,District heating,Needs renovation,0,D,131
88,3,12,1,0,4,0,1,1,4.8,Helsinki,Apartment,1,0,District heating,Good,0,B,424
50,3,0,0,0,15,1,1,1,11.3,Helsinki,Apartment,0,0,District heating,Good,0,C,171
58,2,5,0,1,9,0,1,1,4.7,Helsinki,Apartment,0,1,Air-source heat pump,Good,0,C,283
98,3,0,1,1,43,1,2,2,4.1,Lahti,Terraced house,0,1,District heating,Fair,420,E,126
92,3,0,0,1,44,0,1,1,1.8,Turku,Apartment,0,0,District heating,Fair,0,E,157
65,2,1,1,1,40,0,1,1,6.3,Tampere,Apartment,0,1,District heating,Good,0,E,143
74,3,0,0,1,11,1,2,2,9.9,Oulu,Terraced house,0,1,Geothermal,Good,485,B,167
107,4,0,1,1,19,1,2,2,4.9,Espoo,Detached house,0,1,District heating,Needs renovation,1205,E,489
59,3,2,0,0,64,0,1,1,11.1,Vantaa,Apartment,0,0,District heating,Good,0,E,109
101,4,0,1,1,9,1,2,2,2.0,Tampere,Terraced house,1,1,Air-source heat pump,Good,290,B,319
81,3,2,1,1,17,0,2,2,8.2,Helsinki,Apartment,0,1,District heating,Good,0,D,306
30,2,0,0,1,95,0,1,1,1.5,Kuopio,Apartment,0,0,District heating,Needs renovation,0,G,37
89,4,0,0,1,37,0,1,1,2.0,Tampere,Apartment,0,1,Air-source heat pump,Good,0,D,201
56,2,3,1,0,15,0,1,1,1.9,Tampere,Apartment,0,0,District heating,Fair,0,C,149
92,3,1,1,0,3,0,1,1,4.8,Helsinki,Apartment,0,1,District heating,Excellent,0,C,392
59,3,2,1,1,9,0,1,1,5.5,Oulu,Apartment,0,1,District heating,Good,0,B,121
62,3,4,0,1,21,0,1,1,1.1,Helsinki,Apartment,0,1,Electric heating,Good,0,D,318
135,5,0,1,2,4,1,2,2,6.8,Helsinki,Detached house,1,1,Electric heating,Good,1100,C,725
59,2,0,1,2,22,0,1,1,6.4,Helsinki,Apartment,0,0,District heating,Excellent,0,B,262
119,5,1,0,1,25,0,2,2,4.1,Espoo,Apartment,0,1,District heating,Fair,0,D,382
76,3,3,0,1,31,0,1,1,4.6,Espoo,Apartment,0,1,District heating,Needs renovation,0,F,198
56,3,0,0,1,28,1,1,1,2.2,Jyväskylä,Apartment,0,1,District heating,Good,0,D,114
31,1,2,0,0,43,0,1,1,19.3,Espoo,Apartment,0,1,District heating,Good,0,D,75
26,1,2,1,1,18,0,1,1,4.1,Kuopio,Apartment,0,1,District heating,Excellent,0,C,56
60,2,3,1,0,37,0,1,2,6.6,Vantaa,Apartment,0,1,District heating,Good,0,D,152
36,1,2,0,1,21,0,1,1,5.4,Helsinki,Apartment,0,0,District heating,Good,0,C,170
42,2,1,1,1,12,0,1,1,3.6,Tampere,Apartment,0,1,District heating,Good,0,C,139
118,4,0,0,1,34,1,1,2,9.9,Oulu,Terraced house,1,1,District heating,Needs renovation,460,D,137
149,6,0,0,2,64,1,3,3,10.0,Vantaa,Detached house,1,0,Electric heating,Needs renovation,805,G,231
152,7,0,1,0,33,1,2,3,4.2,Jyväskylä,Detached house,0,1,Electric heating,Good,1275,C,290
55,2,2,0,1,33,0,1,1,4.8,Lahti,Apartment,0,0,District heating,Fair,0,C,76
56,3,1,1,1,65,0,1,1,2.5,Turku,Apartment,0,0,District heating,Excellent,0,E,123
70,4,0,0,1,28,0,1,1,10.1,Vantaa,Apartment,0,1,District heating,Excellent,0,C,161
166,6,0,1,1,64,1,2,3,24.7,Vantaa,Detached house,1,1,Electric heating,Needs renovation,1620,F,322
52,2,3,0,2,14,0,1,1,1.3,Turku,Apartment,0,1,District heating,Good,0,D,146
85,3,0,0,1,18,0,1,1,6.3,Kuopio,Apartment,0,1,District heating,Good,0,B,147
39,1,5,1,0,10,0,1,1,5.9,Helsinki,Apartment,0,0,District heating,Fair,0,C,154
31,1,1,1,1,26,0,1,1,4.2,Helsinki,Apartment,0,0,District heating,Fair,0,E,154
49,2,6,0,1,35,0,1,1,1.9,Oulu,Apartment,0,0,District heating,Good,0,D,99
80,4,5,1,1,38,0,1,1,3.7,Jyväskylä,Apartment,0,0,District heating,Fair,0,F,141
65,3,0,1,2,66,0,1,1,7.0,Turku,Terraced house,0,1,Wood heating,Needs renovation,175,G,86
25,1,0,0,1,11,1,1,1,2.0,Jyväskylä,Apartment,0,1,District heating,Good,0,C,61
45,1,5,1,1,64,0,1,1,2.5,Helsinki,Apartment,0,1,District heating,Excellent,0,F,172
196,7,0,1,2,28,1,3,3,11.7,Vantaa,Detached house,1,1,Wood heating,Excellent,1465,C,552
54,2,11,1,1,9,0,1,1,5.9,Tampere,Apartment,0,1,District heating,Good,0,B,175
94,3,0,0,2,17,1,2,3,6.1,Turku,Semi-detached house,1,0,Geothermal,Fair,750,C,223
127,5,0,1,2,22,1,2,3,10.9,Turku,Detached house,1,0,Wood heating,Fair,1405,D,259
127,3,8,0,1,45,0,2,2,3.0,Helsinki,Apartment,0,1,District heating,Good,0,E,519
49,3,3,1,1,27,0,1,2,2.8,Turku,Apartment,0,1,District heating,Excellent,0,C,134
90,5,0,1,2,17,1,2,2,8.4,Espoo,Semi-detached house,0,0,Oil heating,Good,685,C,375
